provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,CR,2019,Top 200,Guns N' Roses,472,2,101,143.425847,0,0,1594734,472,22
MGD,SPOTIFY,CR,2019,Top 200,Travis Scott,442,4,15,118.158371,0,82,2019824,442,23
MGD,SPOTIFY,CR,2019,Top 200,Morat,396,4,37,127.570707,0,1,1451977,396,24
MGD,SPOTIFY,CR,2019,Top 200,Reik,382,5,52,152.395288,0,0,1268212,382,25
MGD,SPOTIFY,CR,2020,Top 200,Bad Bunny,3095,30,1,75.99063,306,1130,28685621,3095,1
MGD,SPOTIFY,CR,2020,Top 200,Christian Nodal,2587,25,11,91.212215,0,554,16487818,2587,2
MGD,SPOTIFY,CR,2020,Top 200,J Balvin,1983,11,1,54.999496,250,1267,21491753,1983,3
MGD,SPOTIFY,CR,2020,Top 200,Camilo,1368,12,1,75.606725,183,539,11904996,1368,4
MGD,SPOTIFY,CR,2020,Top 200,Maluma,1063,17,1,83.541863,134,313,10705939,1063,5
MGD,SPOTIFY,CR,2020,Top 200,Travis Scott,962,8,7,111.656965,5,108,4876797,962,6
MGD,SPOTIFY,CR,2020,Top 200,Dua Lipa,946,18,9,91.757928,1,263,6542483,946,7
MGD,SPOTIFY,CR,2020,Top 200,Myke Towers,887,6,8,91.508455,24,254,6401432,887,8
MGD,SPOTIFY,CR,2020,Top 200,Paulo Londra,791,3,37,124.385588,0,46,3691253,791,9
MGD,SPOTIFY,CR,2020,Top 200,"J Balvin, Bad Bunny",706,2,7,76.423513,37,343,5805189,706,10
MGD,SPOTIFY,CR,2020,Top 200,Billie Eilish,702,9,26,132.236467,0,20,3199665,702,11
MGD,SPOTIFY,CR,2020,Top 200,Harry Styles,692,5,31,90.112717,0,112,4010878,692,12
MGD,SPOTIFY,CR,2020,Top 200,Queen,686,2,109,162.002915,0,0,2404819,686,13
MGD,SPOTIFY,CR,2020,Top 200,Alejandro Fernández,675,4,87,157.574815,0,0,2414900,675,14
MGD,SPOTIFY,CR,2020,Top 200,Ed Sheeran,599,5,89,164.923205,0,0,2085667,599,15
MGD,SPOTIFY,CR,2020,Top 200,The Weeknd,592,19,5,67.6875,82,343,5832113,592,16
MGD,SPOTIFY,CR,2020,Top 200,Rauw Alejandro,591,5,3,49.954315,220,367,7772871,591,17
MGD,SPOTIFY,CR,2020,Top 200,Anuel AA,555,13,8,103.634234,5,88,3194724,555,18
MGD,SPOTIFY,CR,2020,Top 200,Tainy,541,2,1,52.890943,76,274,5947570,541,19
MGD,SPOTIFY,CR,2020,Top 200,Lewis Capaldi,494,2,72,123.502024,0,0,2135917,494,20
MGD,SPOTIFY,CR,2020,Top 200,Sam Smith,470,10,60,150.510638,0,0,1810242,470,21
MGD,SPOTIFY,CR,2020,Top 200,"Rauw Alejandro, Farruko",455,2,2,56.30989,61,295,5623843,455,22
MGD,SPOTIFY,CR,2020,Top 200,Aya Nakamura,421,3,6,56.313539,58,253,4147592,421,23
MGD,SPOTIFY,CR,2020,Top 200,Drake,404,13,15,90.680693,0,119,2595186,404,24
MGD,SPOTIFY,CR,2020,Top 200,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",391,2,33,125.248082,0,46,1963291,391,25
MGD,SPOTIFY,CR,2021,Top 200,Bad Bunny,3864,21,1,94.999741,212,831,28064332,3864,1
MGD,SPOTIFY,CR,2021,Top 200,Christian Nodal,3095,14,8,92.449111,3,733,19080930,3095,2
MGD,SPOTIFY,CR,2021,Top 200,Olivia Rodrigo,1573,14,6,84.158296,27,377,10477560,1573,3
MGD,SPOTIFY,CR,2021,Top 200,Rauw Alejandro,1344,19,1,83.418155,216,487,13611636,1344,4
MGD,SPOTIFY,CR,2021,Top 200,Camilo,1120,11,9,101.900893,3,232,6727353,1120,5
MGD,SPOTIFY,CR,2021,Top 200,Dua Lipa,1120,5,18,103.505357,0,129,5966518,1120,6
MGD,SPOTIFY,CR,2021,Top 200,KAROL G,1060,10,2,75.35566,93,398,9042238,1060,7
MGD,SPOTIFY,CR,2021,Top 200,Sech,988,9,2,75.384615,73,403,8466303,988,8
MGD,SPOTIFY,CR,2021,Top 200,Maluma,934,6,3,67.561028,153,535,9102036,934,9
MGD,SPOTIFY,CR,2021,Top 200,Doja Cat,910,8,17,72.751648,0,373,6458446,910,10
MGD,SPOTIFY,CR,2021,Top 200,Paulo Londra,900,6,64,145.195556,0,0,3532957,900,11
MGD,SPOTIFY,CR,2021,Top 200,The Weeknd,875,9,12,89.253714,0,220,5401845,875,12
MGD,SPOTIFY,CR,2021,Top 200,J Balvin,785,16,34,126.64586,0,84,3638544,785,13
